0.0000	21.000	10.000	25.000	12.000	16.000	22.000	5.0000	34.000	18.000	25.000	9.0000	37.000	40.000
21.000	0.0000	12.000	4.0000	23.000	21.000	9.0000	26.000	13.000	18.000	4.0000	16.000	19.000	24.000
10.000	12.000	0.0000	16.000	12.000	13.000	15.000	14.000	25.000	12.000	15.000	5.0000	30.000	34.000
25.000	4.0000	16.000	0.0000	27.000	25.000	9.0000	30.000	9.0000	21.000	4.0000	21.000	16.000	21.000
12.000	23.000	12.000	27.000	0.0000	6.0000	27.000	10.000	36.000	10.000	25.000	7.0000	42.000	46.000
16.000	21.000	13.000	25.000	6.0000	0.0000	27.000	16.000	33.000	4.0000	22.000	9.0000	41.000	45.000
22.000	9.0000	15.000	9.0000	27.000	27.000	0.0000	26.000	14.000	25.000	12.000	20.000	16.000	19.000
5.0000	26.000	14.000	30.000	10.000	16.000	26.000	0.0000	38.000	19.000	29.000	11.000	42.000	45.000
34.000	13.000	25.000	9.0000	36.000	33.000	14.000	38.000	0.0000	29.000	11.000	29.000	11.000	16.000
18.000	18.000	12.000	21.000	10.000	4.0000	25.000	19.000	29.000	0.0000	18.000	9.0000	37.000	42.000
25.000	4.0000	15.000	4.0000	25.000	22.000	12.000	29.000	11.000	18.000	0.0000	19.000	20.000	25.000
9.0000	16.000	5.0000	21.000	7.0000	9.0000	20.000	11.000	29.000	9.0000	19.000	0.0000	35.000	39.000
37.000	19.000	30.000	16.000	42.000	41.000	16.000	42.000	11.000	37.000	20.000	35.000	0.0000	5.0000
40.000	24.000	34.000	21.000	46.000	45.000	19.000	45.000	16.000	42.000	25.000	39.000	5.0000	0.0000
